,ID,Region,Main Source of Income,Agricultural Household indicator,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Walls,House Floor Area,House Age,Number of bedrooms,Electricity,Total Household Income,Total Food Expenditure,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle
38191,558,P,Wage/Salaries,0,Male,54,Married,Self-employed wihout any employee,Single Family,3,0,0,1,Single house,Strong,22,19,2,1,595967,94168,29010,23990,9678,15052,3095,5560,19130,0,0,14212,31560,21000,12895,21054,3852,30500,36012,0,0,79804,1,0,0,1,0,0,0,0,3,0,1,0,1
33669,1415,N,Enterpreneurial Activities,2,Female,56,Widowed,,Single Family,2,0,0,1,Single house,Strong,204,23,3,1,595700,136619,17300,7200,36556,21477,4347,6968,33479,0,0,9080,163020,126000,6300,35094,26496,0,18438,2500,0,286000,1,1,1,1,1,1,1,1,1,1,1,0,0
23658,422,J,Wage/Salaries,0,Male,70,Married,Self-employed wihout any employee,Extended Family,7,0,2,3,Single house,Strong,100,11,4,1,595617,145648,45734,37085,22292,43620,5280,3840,7556,0,10408,13409,59700,36000,1838,20490,4200,3800,32466,14600,0,53000,2,0,1,1,1,0,0,0,4,1,1,0,3
22265,1570,I,Wage/Salaries,0,Male,54,Married,Worked for private establishment,Single Family,5,0,1,4,Single house,Strong,80,18,2,1,595438,154579,25410,19630,19065,11583,1600,2798,73860,0,0,15600,79992,36000,2835,31188,6600,10200,37740,4000,0,10200,1,1,0,1,1,2,0,1,3,0,0,0,0
34695,2441,N,Wage/Salaries,2,Male,56,Married,,Extended Family,5,0,0,2,Single house,Strong,21,15,2,1,595362,156005,38303,24700,31403,21435,4866,11950,19552,0,0,9689,73770,36000,17510,60486,20298,0,38520,3500,0,0,1,1,0,1,1,0,0,1,4,2,1,0,0
17600,1067,H,Wage/Salaries,0,Male,58,Married,Worked for private household,Extended Family,4,0,0,2,Single house,Strong,80,35,3,1,595309,201262,43405,28470,35824,29499,6165,7342,35290,1768,3620,3000,90780,60000,113898,67464,30594,0,33522,0,0,156144,2,0,1,1,1,1,2,1,3,3,0,0,0
569,570,A,Wage/Salaries,0,Female,60,Widowed,,Extended Family,7,1,2,3,Single house,Quite Strong,40,17,3,1,595300,129003,35581,29750,8830,7985,6190,13275,27590,16290,7240,2490,78660,60000,4114,33534,5508,500,55938,140500,0,0,1,1,0,1,1,0,0,0,5,0,0,0,0
33348,1094,N,Enterpreneurial Activities,2,Male,40,Married,Worked for private establishment,Single Family,5,0,3,1,Single house,Strong,10,12,1,1,595294,225315,43661,32760,21366,35625,15396,15880,31904,2834,0,15245,48738,30000,10274,48468,4338,12557,21306,4000,0,321228,1,1,1,1,1,0,0,0,5,0,0,0,0
33993,1739,N,Wage/Salaries,2,Male,44,Divorced/Separated,Employer in own family-operated farm or business,Single Family,3,0,0,1,Single house,Strong,54,27,3,1,595225,127789,18086,11380,28136,17105,4463,5770,21750,1820,2704,6710,117840,54000,28550,19860,22602,200,22152,15000,0,182700,3,2,1,1,1,2,5,1,5,1,1,0,0
12326,1249,F,Enterpreneurial Activities,0,Male,52,Married,Worked without pay in own family-operated farm or business,Single Family,4,0,0,2,Single house,Strong,60,10,2,1,595038,74337,24636,21420,10233,5560,780,4182,12480,420,7240,1900,76704,45000,17654,12876,6732,0,14148,3500,0,395160,1,1,1,0,1,0,0,0,4,0,0,0,3
26073,950,K,Wage/Salaries,0,Male,41,Married,Worked for government/government corporation,Single Family,4,0,2,1,Single house,Strong,60,17,3,1,594728,134072,25249,16588,22177,18875,2260,6304,38720,0,0,2400,118602,63000,7000,32808,10656,34600,23466,0,0,0,2,1,0,1,1,1,1,1,4,3,0,0,1
863,864,A,Other sources of Income,0,Male,56,Married,,Single Family,3,0,0,0,Single house,Strong,250,20,6,1,594611,71380,20558,11725,6783,21368,1947,4850,2750,0,0,8165,107952,90000,172950,4128,9894,0,37806,0,0,130340,2,0,1,1,1,0,0,0,4,2,1,0,0
35495,3241,N,Other sources of Income,2,Male,66,Married,,Single Family,4,0,0,1,Single house,Strong,56,28,2,1,594499,131820,28368,15753,16072,15814,4849,7909,22745,0,416,5299,172620,108000,15186,72096,24990,80000,15822,499,0,0,3,1,1,1,1,1,2,1,3,4,1,0,0
30199,293,M,Other sources of Income,0,Female,45,Married,Self-employed wihout any employee,Extended Family,5,4,0,4,Single house,Strong,42,15,3,1,594489,159068,40893,28356,38673,19175,2674,12579,10440,10676,21760,8225,71682,51000,9225,12204,4980,923,34644,28000,0,43155,1,1,0,1,1,1,0,0,7,1,1,0,1
30095,189,M,Other sources of Income,0,Male,78,Married,,Extended Family,4,0,2,0,Single house,Strong,80,13,3,1,594423,140751,19539,8511,24001,12044,6571,10789,24230,1180,0,22559,85434,60000,41259,44532,32958,12500,41052,16000,0,0,2,0,0,2,1,1,2,1,3,1,0,0,0
26128,1005,K,Wage/Salaries,0,Female,64,Widowed,,Single Family,2,0,0,1,Single house,Strong,80,25,2,1,594325,91268,13053,8008,9074,12367,8133,5249,34660,0,0,52536,73002,60000,7810,101598,62988,0,50286,14895,0,0,1,1,1,1,1,1,1,1,7,3,1,0,0
17472,939,H,Wage/Salaries,0,Male,46,Married,Self-employed wihout any employee,Extended Family,5,0,2,1,Single house,Strong,100,18,2,1,594286,193373,31541,26403,40126,22529,3079,19359,26780,0,0,14700,99678,60000,15960,33546,30312,13090,46572,18000,0,251786,2,1,0,2,1,1,0,0,4,4,0,0,1
18141,1608,H,Enterpreneurial Activities,0,Male,53,Married,Worked for government/government corporation,Single Family,4,0,1,1,Single house,Strong,60,18,2,1,594268,182664,31246,26373,18734,20990,2970,5796,82950,0,0,9150,114432,78000,18195,33804,10194,151200,52080,0,0,262540,2,0,1,1,1,0,1,0,3,1,1,0,0
22202,1507,I,Other sources of Income,0,Female,50,Married,Self-employed wihout any employee,Single Family,4,0,2,0,Single house,Strong,200,20,4,1,594200,221412,40762,30590,9542,49640,25500,5998,51320,0,0,14570,260310,180000,12041,14616,22200,75000,19560,5000,0,109200,2,1,0,1,1,1,1,1,5,1,1,0,1
26439,1316,K,Enterpreneurial Activities,0,Male,31,Married,Self-employed wihout any employee,Single Family,5,1,2,0,Single house,Strong,60,75,1,1,594180,156481,45180,20546,13039,5854,2649,1561,53543,10718,0,8576,73938,36000,5136,13956,828,700,38208,6200,0,525900,1,1,0,1,1,1,0,1,3,1,1,0,1
24792,1556,J,Other sources of Income,0,Male,74,Married,,Single Family,5,0,0,0,Single house,Strong,50,15,2,1,594000,68782,25518,22716,8180,7447,2093,6547,4580,684,0,450,80526,48000,9216,3948,9948,15600,10518,6500,0,0,1,1,1,1,0,0,0,0,4,1,0,0,0
4964,1458,C,Wage/Salaries,0,Male,63,Married,Worked for private establishment,Extended Family,8,1,1,5,Single house,Light,180,15,2,1,593928,185092,45329,37890,26985,18489,21072,26975,16800,1818,14480,5915,49200,0,11440,13938,12000,72400,21456,10000,0,138960,1,1,1,1,0,0,0,0,7,1,1,0,1
13504,2427,F,Wage/Salaries,0,Female,74,Widowed,Self-employed wihout any employee,Extended Family,5,1,0,3,Single house,Strong,100,62,2,1,593898,150749,17749,15000,28660,8831,9166,3213,48000,0,0,4400,101700,48000,5536,23922,21084,0,29112,0,0,183098,1,1,1,1,1,1,0,0,3,1,1,0,0
32884,630,N,Wage/Salaries,2,Female,67,Widowed,,Extended Family,7,1,1,2,Single house,Quite Strong,5,20,2,1,593864,200524,30574,8205,38520,19785,6794,8328,59895,910,0,3199,115308,54000,52594,37122,10782,6000,49020,5000,0,107498,1,1,0,1,1,1,1,0,5,1,0,0,0
13461,2384,F,Wage/Salaries,0,Female,48,Divorced/Separated,Worked for private establishment,Single Family,3,0,0,1,Single house,Strong,60,15,2,1,593700,117862,19534,14170,28580,14307,3000,5112,24800,840,21720,15330,65250,36000,1786,25824,21660,0,28020,4000,0,0,1,0,1,0,1,1,0,0,3,1,0,0,0
22966,2271,I,Wage/Salaries,0,Male,32,Married,Worked for government/government corporation,Single Family,4,0,2,2,Single house,Quite Strong,32,26,1,1,593621,175520,46224,21314,33984,16830,3480,1340,21600,2700,543,27885,18930,0,2665,62334,4680,5050,55602,10000,0,0,1,1,0,1,0,0,0,0,2,1,0,0,1
39715,2082,P,Wage/Salaries,2,Female,62,Widowed,Worked for government/government corporation,Single Family,2,0,0,2,Single house,Strong,120,28,2,1,593580,64009,15632,10819,9762,7523,7116,3318,7750,0,0,13420,103260,66000,6100,8364,7134,0,77142,0,0,0,1,1,1,1,1,2,0,1,2,2,1,0,0
26101,978,K,Wage/Salaries,0,Male,63,Married,Worked for private establishment,Single Family,2,0,0,1,Single house,Strong,45,35,3,1,593491,145610,20592,11176,25026,15891,3354,8433,48180,0,0,4743,63498,45000,10728,51690,26742,670,45912,16300,0,36000,2,1,1,1,1,0,1,1,3,1,1,0,0
29292,1723,L,Wage/Salaries,0,Female,39,Married,Worked for government/government corporation,Single Family,4,0,3,1,Single house,Strong,80,45,3,1,593378,138361,44406,27900,29114,19540,7960,6505,8750,888,0,26198,85326,60000,22544,8466,5556,2080,47814,5000,0,243663,1,1,0,1,0,1,0,0,2,0,1,0,0
17181,648,H,Wage/Salaries,0,Male,51,Married,Worked for private establishment,Single Family,6,0,2,3,Single house,Strong,45,22,3,1,593350,209642,27922,21450,9768,9778,780,4110,153620,0,0,10005,71280,33000,3561,29994,13626,33630,39288,10000,0,69900,2,1,1,1,1,1,1,1,6,2,0,0,0
29795,2226,L,Wage/Salaries,2,Male,81,Married,,Extended Family,9,1,2,3,Single house,Strong,64,17,2,1,593320,163991,28135,15294,23576,65959,1680,6165,9100,1920,0,8708,25800,9000,2100,14046,5982,3070,22926,41000,0,7675,1,1,0,0,1,0,0,0,4,1,0,0,1
35642,3388,N,Wage/Salaries,2,Male,59,Married,Self-employed wihout any employee,Extended Family,5,1,0,2,Single house,Strong,50,25,2,1,592954,173897,14387,10016,25688,14075,6799,7257,71345,0,0,13980,90462,60000,19121,33912,10098,0,36876,2050,0,93200,2,1,0,1,1,0,0,1,3,1,0,0,1
1000,1001,A,Wage/Salaries,0,Female,56,Widowed,Worked for private establishment,Single Family,2,0,1,1,Single house,Strong,700,30,3,1,592855,142216,14340,8740,8940,18606,12050,8970,45600,0,0,9650,110616,90000,7200,12312,36000,69700,83064,10000,0,0,2,2,0,1,1,0,0,1,2,2,1,0,0
2776,1052,B,Wage/Salaries,0,Male,56,Married,Worked for private establishment,Extended Family,6,1,1,3,Single house,Strong,60,13,3,1,592788,164022,68946,60635,16252,21702,7395,7145,43330,4350,7125,14090,70200,48000,10890,56718,10098,8700,32754,42500,0,49245,1,0,0,1,0,0,0,0,6,1,0,0,1
17576,1043,H,Wage/Salaries,0,Female,52,Divorced/Separated,Employer in own family-operated farm or business,Extended Family,6,1,1,3,Single house,Strong,100,25,3,1,592704,212000,39788,33398,37451,16439,1772,5926,61990,690,13575,7795,72504,48000,20946,35484,21330,1240,34836,70000,0,23380,2,1,1,1,1,1,0,0,4,2,0,0,0
33471,1217,N,Other sources of Income,2,Female,42,Married,,Single Family,4,0,1,1,Single house,Strong,36,7,1,1,592701,158335,39855,20644,30873,27435,2880,7244,14060,0,0,17670,85380,54000,12964,9012,25776,25300,27942,5000,0,24006,2,1,1,1,0,1,0,0,0,1,0,0,0
36184,3930,N,Wage/Salaries,2,Female,56,Divorced/Separated,,Extended Family,6,2,0,2,Single house,Strong,60,37,2,1,592306,244025,30050,16164,27669,26127,5095,14251,57630,0,0,33248,83436,36000,7031,45858,26664,0,75942,2800,0,0,1,1,0,1,1,1,0,0,4,1,0,0,0
7687,1330,D,Other sources of Income,0,Male,60,Married,Employer in own family-operated farm or business,Extended Family,5,1,1,1,Single house,Strong,200,37,3,1,592300,86504,30501,21720,6973,12320,3230,4661,6430,1740,0,20630,101430,66000,3007,18012,15840,30418,15696,54550,0,31800,1,0,0,1,1,1,1,0,6,5,0,0,3
30918,1012,M,Other sources of Income,0,Male,35,Married,Worked for private establishment,Extended Family,5,1,1,2,Duplex,Strong,200,15,3,1,592271,124303,36297,19200,36214,10543,1885,4150,16300,6601,0,19160,86340,60000,161718,10410,3420,450,16728,108200,0,0,1,1,0,0,1,0,0,0,3,0,0,0,0
1040,1041,A,Wage/Salaries,0,Male,53,Married,Worked for government/government corporation,Single Family,4,0,2,2,Single house,Strong,120,6,3,1,592271,197307,40633,21120,45244,18340,4747,8665,53720,0,3235,50756,88170,60000,10664,11928,22200,780,47376,44000,0,4095,2,0,0,1,1,0,0,0,4,3,1,0,0
26196,1073,K,Other sources of Income,0,Female,76,Widowed,Self-employed wihout any employee,Extended Family,5,1,2,1,Single house,Strong,42,18,3,1,592198,130621,30033,17720,22086,18066,8640,9173,20730,0,0,4425,114300,60000,47670,29700,21420,46100,35754,32000,0,26070,2,1,1,2,1,1,0,1,4,1,1,0,1
1413,1414,A,Wage/Salaries,0,Male,41,Married,Worked for private establishment,Single Family,8,0,5,1,Single house,Strong,200,26,3,1,591770,110895,37892,29009,13510,10775,8742,8075,27510,3200,1300,31795,78480,45000,4400,12120,1920,21400,32604,111620,68430,76480,1,0,1,0,0,0,0,0,4,0,0,0,1
24727,1491,J,Other sources of Income,0,Male,56,Married,Worked for private establishment,Extended Family,8,0,2,2,Single house,Strong,40,36,1,1,591768,119929,48280,41434,4980,4312,925,1700,31330,0,0,2580,33456,15000,5674,19092,14562,29800,28782,9000,0,134085,1,0,1,1,1,0,0,1,6,1,0,0,0
2707,983,B,Other sources of Income,0,Male,34,Married,Worked for private establishment,Extended Family,9,1,3,3,Single house,Quite Strong,50,37,3,1,591730,91229,41334,37116,10848,13590,5595,3692,680,1180,0,15575,19740,10800,12047,7056,1068,2710,21708,109500,20354,20354,1,1,1,0,0,0,0,0,3,0,0,0,2
1162,1163,A,Wage/Salaries,0,Male,53,Married,Self-employed wihout any employee,Single Family,11,0,2,5,Single house,Strong,42,45,2,1,591600,134010,58485,53440,14150,14333,9100,9565,18300,2215,680,10190,48540,21000,5450,14520,1230,42700,5256,29000,105030,125030,1,1,0,0,0,0,0,0,8,1,0,0,1
13389,2312,F,Wage/Salaries,0,Female,45,Married,,Extended Family,6,1,2,2,Single house,Strong,40,3,3,1,591600,159968,35079,24076,18970,13293,4033,8355,37490,1872,10860,12440,84090,54000,4924,20946,5700,2300,33540,28000,0,0,1,1,1,1,1,0,0,0,5,1,1,0,0
33237,983,N,Other sources of Income,2,Male,69,Married,,Single Family,3,0,0,1,Single house,Strong,250,27,4,1,591574,116857,19919,9750,19395,13137,7934,6135,25960,0,0,10690,191340,108000,61952,19776,34614,0,23322,0,0,0,2,2,0,1,1,2,1,1,3,1,1,0,0
1661,1662,A,Wage/Salaries,2,Female,68,Widowed,,Extended Family,7,1,1,1,Single house,Strong,60,36,4,1,591568,215691,34793,16290,77358,36765,2920,12755,0,540,8145,26273,63612,27000,9000,45810,8616,24200,23412,11000,65770,65770,1,1,0,1,1,0,0,0,5,1,0,0,1
18169,1636,H,Wage/Salaries,0,Male,90,Married,,Extended Family,16,3,1,1,Single house,Strong,200,15,6,1,591546,310270,75241,46497,38789,34156,1260,12781,84791,960,5460,2650,60804,21000,60547,43164,6762,2370,28128,36930,0,0,2,1,1,1,1,0,0,0,5,1,0,0,0
13046,1969,F,Wage/Salaries,0,Female,49,Married,Self-employed wihout any employee,Extended Family,5,0,2,3,Single house,Strong,70,12,4,1,591523,145936,21754,12552,33359,15531,3692,13871,40000,0,0,20240,88164,57000,3200,17472,16098,58954,49050,480,0,53738,2,2,1,1,1,0,0,0,4,1,0,0,0
35270,3016,N,Wage/Salaries,2,Female,60,Widowed,Self-employed wihout any employee,Extended Family,11,2,3,3,Single house,Strong,50,35,2,1,591484,247300,58960,26700,16069,16804,11242,9685,38636,540,8280,8205,105678,48000,2688,34176,20640,3595,42996,153450,0,95938,1,1,0,1,1,1,0,0,7,1,0,0,1
20631,4098,H,Wage/Salaries,0,Male,30,Married,Worked for private establishment,Single Family,4,2,0,2,Single house,Strong,75,25,2,1,591454,183532,23763,13900,23000,13285,4420,9598,63600,1230,4525,20097,98160,66000,5316,68976,18990,35000,35460,50500,0,0,1,1,0,1,1,1,1,1,2,2,0,0,1
353,354,A,Other sources of Income,0,Female,25,Single,Worked for private establishment,Extended Family,4,0,1,1,Single house,Strong,200,2,2,1,591450,120032,39972,21600,33312,10792,1200,4865,6500,2080,0,13600,90768,66000,1180,33780,10860,64995,31944,3000,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0
14906,592,G,Other sources of Income,0,Male,51,Married,Employer in own family-operated farm or business,Single Family,7,1,3,0,Single house,Quite Strong,80,29,2,1,591380,114867,44231,28352,18842,12336,1610,5980,9680,360,11946,5730,17004,7800,84520,6036,4320,5120,3504,0,104750,110750,1,1,0,1,1,0,0,0,2,0,0,0,2
38873,1240,P,Enterpreneurial Activities,1,Male,75,Married,Employer in own family-operated farm or business,Single Family,4,0,1,0,Single house,Strong,108,19,4,1,591307,136957,29228,21200,19890,18138,8404,10706,8598,0,7904,23246,40500,21000,11565,98232,5700,9200,14262,77500,450629,499709,1,1,1,1,1,0,1,0,3,0,0,0,0
33419,1165,N,Wage/Salaries,2,Male,54,Married,Worked for private establishment,Single Family,5,0,0,4,Single house,Quite Strong,60,35,2,1,591098,129550,25448,17316,35542,8016,1901,5255,35800,270,0,2225,126078,90000,0,95754,13320,0,38448,2700,0,0,1,1,0,1,1,0,0,1,5,1,0,0,0
39167,1534,P,Wage/Salaries,0,Male,48,Married,Worked for government/government corporation,Single Family,4,0,2,2,Single house,Light,14,18,3,1,591018,99635,26301,14667,10042,19450,3726,8440,11236,0,0,6450,23838,6600,5665,15588,6000,58750,40824,10000,0,0,1,0,0,0,1,0,0,0,6,1,0,0,1
4718,1212,C,Wage/Salaries,0,Male,69,Married,Self-employed wihout any employee,Extended Family,7,2,0,4,Single house,Quite Strong,150,3,3,1,590934,159450,43095,39292,19476,16622,2704,9910,23410,4576,0,10205,53640,36000,4778,11928,3240,0,23508,30000,0,57092,1,1,0,1,1,0,0,0,3,2,0,0,4
25686,563,K,Wage/Salaries,0,Male,55,Married,Worked for private establishment,Single Family,6,0,0,4,Single house,Strong,36,19,2,1,590558,173321,32188,26728,24698,16639,6671,6991,44500,1365,0,26995,46764,30000,2580,46656,18576,114700,34998,6500,0,60600,1,1,1,1,1,0,0,0,6,2,1,0,1
35376,3122,N,Wage/Salaries,2,Male,60,Married,Worked for private establishment,Extended Family,8,0,4,2,Single house,Strong,150,37,3,1,590556,166845,20596,16125,42720,20072,3971,6410,44860,1040,0,18595,121620,60000,2190,39420,11874,4567,32412,0,0,0,1,1,1,1,1,0,0,0,3,1,1,0,1
11616,539,F,Wage/Salaries,0,Male,48,Married,Self-employed wihout any employee,Single Family,8,0,1,4,Single house,Strong,90,40,3,1,590548,283910,48479,23689,69194,14640,11720,6330,93130,1800,3008,19650,70320,18000,1356,36564,32190,23000,70974,2500,0,125900,2,1,0,1,1,0,0,1,8,1,1,0,1
17484,951,H,Wage/Salaries,0,Male,45,Married,Self-employed wihout any employee,Single Family,5,1,0,2,Duplex,Strong,35,15,2,1,590480,166095,41850,14650,37213,20394,2893,6991,14500,0,7240,15905,73428,0,240,75942,11160,0,36870,40000,0,97880,1,1,1,1,1,0,0,1,5,1,1,0,0
14629,315,G,Enterpreneurial Activities,0,Male,49,Married,Self-employed wihout any employee,Extended Family,5,0,2,0,Single house,Strong,80,25,3,1,590465,194549,23574,15776,18660,22926,7710,9490,71300,0,0,5465,35400,18000,15100,25728,3060,65170,24450,0,0,565560,2,1,0,1,1,0,2,0,3,2,1,0,1
23111,2416,I,Wage/Salaries,0,Female,60,Single,Worked for government/government corporation,Single Family,6,0,2,2,Single house,Strong,80,65,5,1,590355,203603,40769,19200,78032,15860,2699,8404,9000,4680,2715,11916,59274,27000,32511,7950,25998,58400,26850,7000,0,0,2,1,1,0,0,0,0,1,0,4,0,0,0
13551,2474,F,Wage/Salaries,0,Male,51,Married,Worked for government/government corporation,Single Family,4,0,1,4,Single house,Strong,120,35,3,1,590338,153203,31736,23860,20916,16981,2775,4100,48120,1260,520,6200,95610,48000,1214,19860,17592,0,26454,0,0,0,2,1,1,1,1,2,0,0,4,1,0,0,0
17004,471,H,Wage/Salaries,0,Female,70,Widowed,,Extended Family,3,0,0,2,Single house,Strong,60,25,3,1,590293,125358,26252,20720,11847,8088,985,3690,59340,0,0,46280,103650,78000,9430,52128,6600,2080,31134,255000,0,0,1,1,0,1,2,0,1,0,3,1,1,0,0
2891,1167,B,Other sources of Income,0,Male,79,Married,,Single Family,2,0,0,0,Single house,Strong,205,9,2,1,590250,106844,15736,9100,7650,12740,24850,22090,13800,1050,0,0,179610,78000,6110,199116,14580,0,20076,10000,0,0,2,2,1,2,2,2,1,0,2,1,0,0,0
37247,863,O,Wage/Salaries,0,Male,41,Married,Worked for government/government corporation,Extended Family,5,0,2,1,Single house,Strong,120,9,2,1,589915,209356,62869,41022,32116,20406,11637,8583,44730,1257,0,31612,80112,54000,13954,29340,10662,7976,23706,8000,0,93000,3,1,1,1,1,0,1,0,4,5,1,0,3
13955,2878,F,Wage/Salaries,0,Male,47,Married,Worked for private establishment,Single Family,6,0,2,2,Single house,Strong,70,16,3,1,589898,263528,35586,26480,33154,14795,4500,4639,125700,520,905,15989,62118,27000,150,12840,5808,21310,54186,8630,0,0,1,1,0,1,1,0,0,0,5,0,0,0,1
17171,638,H,Wage/Salaries,0,Female,50,Married,,Extended Family,6,0,2,3,Single house,Strong,100,22,3,1,589800,144909,31683,25260,29682,15873,3080,11335,43420,2080,0,26752,56106,39000,5178,40566,23724,38580,29682,3000,0,0,2,1,0,1,1,0,0,1,5,2,0,0,2
22137,1442,I,Other sources of Income,0,Male,56,Widowed,,Single Family,1,0,0,0,Single house,Strong,32,23,2,1,589623,88854,11968,7176,25044,13422,6780,9674,4020,13720,7240,4625,56094,39000,404077,11196,14124,0,54480,6670,0,0,2,1,1,1,0,1,0,1,1,0,0,0,0
19150,2617,H,Wage/Salaries,0,Male,59,Married,Worked for private establishment,Extended Family,6,1,0,3,Single house,Strong,85,28,2,1,589500,109928,16641,7696,21374,6818,6910,4565,38218,1196,520,8450,89460,72000,7100,44340,15522,0,31266,13700,0,0,1,1,0,1,2,0,1,1,5,3,1,0,0
34323,2069,N,Wage/Salaries,2,Female,56,Married,,Extended Family,20,2,5,4,Single house,Quite Strong,32,35,3,1,589489,292344,81784,54933,36544,29182,1450,6594,76876,0,13075,9850,65544,0,1373,30570,5808,17140,46776,3000,0,49353,2,1,1,1,1,1,0,0,0,1,1,0,3
17939,1406,H,Wage/Salaries,0,Female,57,Widowed,Worked for government/government corporation,Single Family,4,0,0,3,Single house,Strong,120,32,3,1,589450,170296,29598,28093,17700,27220,2240,9410,46280,0,4344,3995,78636,48000,80,29568,5700,0,51426,30000,0,42320,2,1,0,1,1,0,0,0,5,2,1,0,0
16735,202,H,Wage/Salaries,0,Male,59,Married,Self-employed wihout any employee,Single Family,4,0,0,2,Single house,Strong,70,15,3,1,589384,166518,20138,10036,31374,24795,6470,3230,56820,0,0,9500,45528,30000,3077,112506,9600,0,26526,30000,0,256684,1,1,0,1,1,1,1,1,4,1,1,0,0
30654,748,M,Wage/Salaries,0,Male,78,Married,Employer in own family-operated farm or business,Extended Family,13,0,2,7,Single house,Strong,50,23,2,1,589372,181082,56183,51300,23303,11056,3570,5960,58160,552,724,6140,36000,18000,1740,46188,6750,18300,38784,6000,13240,55510,1,1,0,1,1,0,0,0,10,0,0,0,1
29975,69,M,Other sources of Income,0,Male,32,Married,Employer in own family-operated farm or business,Single Family,4,1,1,2,Single house,Strong,20,15,0,1,589297,111712,21036,13428,24960,12014,2107,5570,7780,0,0,11280,32340,12000,7590,9816,3000,2600,12198,75000,118825,192675,1,0,0,1,0,0,0,0,2,1,0,0,1
26021,898,K,Wage/Salaries,0,Male,77,Married,,Single Family,5,0,0,2,Single house,Strong,90,9,3,1,589292,109310,25706,22066,13163,24337,1584,2638,26320,0,0,11360,103896,81000,8650,30024,9792,0,28680,19000,0,112000,1,1,1,1,1,0,0,0,6,3,1,0,1
32910,656,N,Wage/Salaries,2,Female,54,Widowed,,Extended Family,7,1,1,4,Single house,Strong,20,10,1,1,589249,221699,42256,27210,39674,28866,3710,9895,55955,6500,4716,13603,84060,36000,4598,24792,8322,2100,51684,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
28000,431,L,Wage/Salaries,0,Female,57,Divorced/Separated,Worked for government/government corporation,Extended Family,8,2,2,3,Single house,Strong,140,17,4,1,589000,153320,43857,31500,22094,17627,4084,5384,19180,930,0,9730,147420,105000,2550,36822,18798,5820,51444,20000,0,0,1,1,0,2,1,2,1,1,4,5,0,0,1
18710,2177,H,Wage/Salaries,0,Male,55,Married,,Single Family,3,0,1,1,Single house,Strong,120,20,3,1,588958,190172,32454,24218,34792,11382,4364,5980,76228,0,0,7680,105120,54000,43743,21342,23802,3900,42090,12000,0,0,3,0,0,1,1,1,0,1,3,2,0,0,0
24287,1051,J,Other sources of Income,0,Female,74,Widowed,Worked for government/government corporation,Single Family,2,0,0,1,Single house,Strong,108,15,5,1,588832,75723,18258,14850,11261,25290,2600,3567,0,0,0,8425,271560,228000,4460,9384,14160,0,37200,5200,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0
17847,1314,H,Wage/Salaries,0,Male,44,Widowed,Worked for government/government corporation,Extended Family,5,0,1,1,Duplex,Strong,70,25,2,1,588742,159434,35828,23440,24798,13880,4500,7932,33570,0,0,8380,75846,21000,18626,36504,33216,41460,46284,0,0,38242,1,1,1,1,1,1,0,1,4,2,0,0,0
7457,1100,D,Wage/Salaries,0,Male,54,Married,Worked for government/government corporation,Single Family,4,0,0,2,Single house,Strong,35,13,3,1,588696,105852,28648,24370,20686,12040,3376,4713,15480,95,362,13230,46980,24000,3690,22458,7536,146400,43992,5000,0,0,1,1,0,0,0,0,1,0,4,1,1,0,1
22016,1321,I,Wage/Salaries,0,Female,45,Married,Worked for private establishment,Extended Family,7,0,2,2,Single house,Strong,50,12,3,1,588601,152737,40684,25323,9213,19761,5599,9504,34602,35,0,4407,110700,30000,28131,29094,13788,77150,27918,6000,0,0,1,1,0,1,1,1,0,0,4,1,1,0,1
22389,1694,I,Other sources of Income,0,Male,61,Married,,Single Family,2,0,0,0,Single house,Strong,150,28,3,1,588470,58228,21811,3250,3268,7176,1164,3943,11840,1086,0,6097,116328,30000,17728,5766,1800,0,4434,2150,3024,11104,1,0,0,1,1,0,0,0,1,0,0,0,0
34757,2503,N,Wage/Salaries,2,Male,81,Widowed,,Single Family,4,0,0,1,Single house,Strong,120,10,5,1,588400,173723,34162,18588,22141,13133,6335,5535,42990,0,0,15390,117690,66000,12310,42462,22128,0,27876,11500,0,0,4,0,0,3,2,4,2,1,4,4,0,0,0
